454 1196
3894635954 198348032 51.315308241059235  Ebaugh Drive
3894645113 3894645111 23.09791524914231 
7037812809 7234367507 9.818165525785181 
198530918 198594372 63.753729306715606  Sheppard Place
3894630218 3894630216 36.37308148871269 
198512587 8137815342 209.38931822442038  North Prospect Street
198521214 4256589577 6.011876247784634 
6847572629 6847572636 109.82014324364248 
6847572630 6847572629 11.532014743136738 
198517884 7933485239 3.3638338549550513  North Pearl Street
7234367519 11329468183 0.997166844563545 
7234367533 8133088563 11.83953820872021 
7933485248 198356010 11.627039412128019 
11329562491 11329762269 3680.336974967587  Denison University
10313376793 198551749 57.3854771715521  Washington Drive
6829774070 6829774069 201.90684387634224  Granville Inn
198378313 198356010 34.60040999792233 
3894630224 3894630225 3.7697089224117475  Herrick Hall
7234391439 7234391444 49.9928313845371  East Broadway
3894630220 3894630238 3.999694326341675  Herrick Hall
3894644530 3894644517 178.69712423656784  Shorney Hall
3894637552 3894647917 44.94881721141708 
198532396 198588882 227.80048533037862  Cedar Street
3894630226 3894630227 3.792096057325552 
6956911693 9365640185 54.27250034167355 
9365640192 9365640169 17.965677709520133  Bancroft Drive
9365635994 11329728150 7.100142011895799 
7234367518 7234367521 16.9817762891069 
198559686 5803662947 242.5201571511293  South Mulberry Street
198512576 198551737 147.25289240119227  East College Street
9365640184 198269593 87.51920555756195  East Loop
9714437204 9714437204 64.85245418826487  Silverstein Park
11331370025 11331369997 489.0894917182533 
198551754 9365636014 9.35289284222278  Washington Drive
7234367438 198569947 5.799232107130343  West Broadway
3894641831 3894641827 108.09293682160042  Seeley G Mudd Learning Center
6837423859 198588884 54.775472365529204  Cedar Lane
4249163574 198417650 19670.088350528564  North Street
8133088561 7234367507 8.164138398633119  West Broadway
5803664457 7234374851 9.066770826494514 
11329468223 11329468222 95.31427642842128 
3894644642 198655341 16.206320483156386  North Loop Road
8137815348 8137815354 87.02973069895756 
8317381120 8317381121 15.548399204617743 
